Month,Month Name,Year,16+Overall,16+Total_Economic_Activity,16+ Total in employment,16+ Unemployed,16+ Economically inactive,16+ Economic activity %,16+ Employment %,16+ Unemployment%,16+ Economic inactivity %,16 to 64 Overall,16 to 64 Total economically active,16 to 64 Total in employment,16 to 64 Unemployed,16 to 64 Economically inactive,16 to 64 Economic activity %,16 to 64 Employment %,16 to 64 Unemployment %,16 to 64 Economic inactivity %,Year and Month
1,Jan,1971,19265000,16103000,15591000,512000,3161000,0.836,0.809,0.032,0.164,16561000,15746000,15247000,499000,815000,0.951,0.921,0.032,0.049,01-Jan-71
2,Feb,1971,19275000,16088000,15561000,527000,3187000,0.835,0.807,0.033,0.165,16566000,15738000,15224000,514000,828000,0.95,0.919,0.033,0.05,01-Feb-71
3,Mar,1971,19285000,16097000,15549000,549000,3188000,0.835,0.806,0.034,0.165,16571000,15741000,15206000,535000,829000,0.95,0.918,0.034,0.05,01-Mar-71
4,Apr,1971,19294000,16108000,15540000,568000,3186000,0.835,0.805,0.035,0.165,16576000,15758000,15203000,555000,818000,0.951,0.917,0.035,0.049,01-Apr-71
5,May,1971,19304000,16105000,15522000,583000,3199000,0.834,0.804,0.036,0.166,16580000,15755000,15185000,570000,825000,0.95,0.916,0.036,0.05,01-May-71
6,Jun,1971,19314000,16088000,15499000,589000,3226000,0.833,0.802,0.037,0.167,16585000,15741000,15164000,576000,845000,0.949,0.914,0.037,0.051,01-Jun-71
7,Jul,1971,19322000,16057000,15461000,596000,3265000,0.831,0.8,0.037,0.169,16588000,15717000,15134000,583000,871000,0.947,0.912,0.037,0.053,01-Jul-71
8,Aug,1971,19330000,16039000,15431000,607000,3291000,0.83,0.798,0.038,0.17,16591000,15698000,15104000,594000,893000,0.946,0.91,0.038,0.054,01-Aug-71
9,Sep,1971,19337000,16035000,15410000,625000,3303000,0.829,0.797,0.039,0.171,16594000,15686000,15074000,612000,907000,0.945,0.908,0.039,0.055,01-Sep-71
10,Oct,1971,19345000,16042000,15401000,641000,3303000,0.829,0.796,0.04,0.171,16597000,15702000,15074000,628000,895000,0.946,0.908,0.04,0.054,01-Oct-71
