Month Name,Year,16+Overall,16+Total_Economic_Activity,16+ Total in employment,16+ Unemployed,16+ Economically inactive,16+ Economic activity %,16+ Employment %,16+ Unemployment%,16+ Economic inactivity %,16 to 64 Overall,16 to 64 Total economically active,16 to 64 Total in employment,16 to 64 Unemployed,16 to 64 Economically inactive,16 to 64 Economic activity %,16 to 64 Employment %,16 to 64 Unemployment %,16 to 64 Economic inactivity %,Month,Year and Month Comb
Jan,1971,40513000,25593000,24613000,980000,14919000,0.632,0.608,0.038,0.368,33559000,25187000,24219000,967000,8373000,0.751,0.722,0.038,0.249,1,01-Jan-71
Feb,1971,40531000,25573000,24575000,998000,14959000,0.631,0.606,0.039,0.369,33565000,25172000,24187000,985000,8393000,0.75,0.721,0.039,0.25,2,01-Feb-71
Mar,1971,40550000,25582000,24559000,1023000,14968000,0.631,0.606,0.04,0.369,33570000,25180000,24171000,1009000,8390000,0.75,0.72,0.04,0.25,3,01-Mar-71
Apr,1971,40568000,25600000,24556000,1045000,14968000,0.631,0.605,0.041,0.369,33576000,25199000,24168000,1031000,8377000,0.751,0.72,0.041,0.249,4,01-Apr-71
May,1971,40587000,25603000,24541000,1062000,14984000,0.631,0.605,0.041,0.369,33581000,25202000,24153000,1049000,8380000,0.75,0.719,0.042,0.25,5,01-May-71
Jun,1971,40605000,25576000,24508000,1068000,15029000,0.63,0.604,0.042,0.37,33586000,25180000,24125000,1055000,8406000,0.75,0.718,0.042,0.25,6,01-Jun-71
Jul,1971,40618000,25539000,24464000,1076000,15079000,0.629,0.602,0.042,0.371,33589000,25148000,24085000,1063000,8440000,0.749,0.717,0.042,0.251,7,01-Jul-71
Aug,1971,40631000,25515000,24424000,1090000,15117000,0.628,0.601,0.043,0.372,33591000,25124000,24046000,1077000,8467000,0.748,0.716,0.043,0.252,8,01-Aug-71
Sep,1971,40645000,25511000,24398000,1113000,15134000,0.628,0.6,0.044,0.372,33594000,25115000,24015000,1100000,8479000,0.748,0.715,0.044,0.252,9,01-Sep-71
Oct,1971,40658000,25528000,24395000,1133000,15130000,0.628,0.6,0.044,0.372,33596000,25137000,24017000,1120000,8459000,0.748,0.715,0.045,0.252,10,01-Oct-71
Nov,1972,40671000,25560000,24416000,1143000,15111000,0.628,0.6,0.045,0.372,33598000,25163000,24032000,1130000,8436000,0.749,0.715,0.045,0.251,11,01-Nov-72
Dec,1972,40684000,25605000,24455000,1149000,15079000,0.629,0.601,0.045,0.371,33601000,25207000,24071000,1136000,8394000,0.75,0.716,0.045,0.25,12,01-Dec-72
Jan,1972,40697000,25656000,24501000,1155000,15041000,0.63,0.602,0.045,0.37,33603000,25257000,24115000,1142000,8346000,0.752,0.718,0.045,0.248,1,01-Jan-72
Feb,1972,40710000,25690000,24529000,1161000,15020000,0.631,0.603,0.045,0.369,33606000,25296000,24148000,1148000,8310000,0.753,0.719,0.045,0.247,2,01-Feb-72
Mar,1972,40723000,25694000,24539000,1155000,15029000,0.631,0.603,0.045,0.369,33608000,25300000,24158000,1142000,8309000,0.753,0.719,0.045,0.247,3,01-Mar-72
Apr,1972,40736000,25682000,24542000,1140000,15055000,0.63,0.602,0.044,0.37,33611000,25281000,24155000,1126000,8329000,0.752,0.719,0.045,0.248,4,01-Apr-72
May,1972,40750000,25663000,24541000,1122000,15087000,0.63,0.602,0.044,0.37,33613000,25262000,24154000,1108000,8352000,0.752,0.719,0.044,0.248,5,01-May-72
Jun,1972,40763000,25664000,24557000,1107000,15099000,0.63,0.602,0.043,0.37,33616000,25259000,24164000,1094000,8357000,0.751,0.719,0.043,0.249,6,01-Jun-72
Jul,1972,40777000,25685000,24585000,1100000,15092000,0.63,0.603,0.043,0.37,33620000,25279000,24192000,1087000,8341000,0.752,0.72,0.043,0.248,7,01-Jul-72
Aug,1972,40792000,25706000,24614000,1092000,15086000,0.63,0.603,0.042,0.37,33624000,25299000,24220000,1079000,8325000,0.752,0.72,0.043,0.248,8,01-Aug-72
Sep,1972,40807000,25728000,24643000,1085000,15079000,0.63,0.604,0.042,0.37,33628000,25325000,24253000,1072000,8303000,0.753,0.721,0.042,0.247,9,01-Sep-72
Oct,1972,40821000,25758000,24689000,1070000,15063000,0.631,0.605,0.042,0.369,33632000,25344000,24288000,1056000,8288000,0.754,0.722,0.042,0.246,10,01-Oct-72
