Month,Month Name,Year,Overall,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity %,Employment %,Unemployment %,Economic inactivity %,Year and Month
1,Jan,1971,16561000,15746000,15247000,499000,815000,0.951,0.921,0.032,0.049,01-Jan-71
2,Feb,1971,16566000,15738000,15224000,514000,828000,0.95,0.919,0.033,0.05,01-Feb-71
3,Mar,1971,16571000,15741000,15206000,535000,829000,0.95,0.918,0.034,0.05,01-Mar-71
4,Apr,1971,16576000,15758000,15203000,555000,818000,0.951,0.917,0.035,0.049,01-Apr-71
5,May,1971,16580000,15755000,15185000,570000,825000,0.95,0.916,0.036,0.05,01-May-71
6,Jun,1971,16585000,15741000,15164000,576000,845000,0.949,0.914,0.037,0.051,01-Jun-71
7,Jul,1971,16588000,15717000,15134000,583000,871000,0.947,0.912,0.037,0.053,01-Jul-71
8,Aug,1971,16591000,15698000,15104000,594000,893000,0.946,0.91,0.038,0.054,01-Aug-71
9,Sep,1971,16594000,15686000,15074000,612000,907000,0.945,0.908,0.039,0.055,01-Sep-71
10,Oct,1971,16597000,15702000,15074000,628000,895000,0.946,0.908,0.04,0.054,01-Oct-71
11,Nov,1972,16600000,15713000,15075000,637000,887000,0.947,0.908,0.041,0.053,01-Nov-72
12,Dec,1972,16602000,15739000,15096000,643000,864000,0.948,0.909,0.041,0.052,01-Dec-72
1,Jan,1972,16605000,15766000,15119000,648000,839000,0.949,0.91,0.041,0.051,01-Jan-72
2,Feb,1972,16608000,15789000,15137000,652000,819000,0.951,0.911,0.041,0.049,01-Feb-72
3,Mar,1972,16611000,15782000,15137000,645000,829000,0.95,0.911,0.041,0.05,01-Mar-72
4,Apr,1972,16614000,15759000,15128000,630000,855000,0.949,0.911,0.04,0.051,01-Apr-72
5,May,1972,16617000,15733000,15119000,614000,883000,0.947,0.91,0.039,0.053,01-May-72
6,Jun,1972,16620000,15721000,15119000,602000,899000,0.946,0.91,0.038,0.054,01-Jun-72
7,Jul,1972,16623000,15727000,15130000,597000,896000,0.946,0.91,0.038,0.054,01-Jul-72
8,Aug,1972,16626000,15730000,15141000,590000,896000,0.946,0.911,0.037,0.054,01-Aug-72
9,Sep,1972,16630000,15741000,15159000,582000,889000,0.947,0.912,0.037,0.053,01-Sep-72
10,Oct,1972,16633000,15738000,15171000,567000,895000,0.946,0.912,0.036,0.054,01-Oct-72
11,Nov,1973,16636000,15750000,15202000,548000,886000,0.947,0.914,0.035,0.053,01-Nov-73
12,Dec,1973,16640000,15760000,15234000,526000,880000,0.947,0.916,0.033,0.053,01-Dec-73
1,Jan,1973,16643000,15783000,15276000,508000,860000,0.948,0.918,0.032,0.052,01-Jan-73
2,Feb,1973,16647000,15798000,15304000,494000,849000,0.949,0.919,0.031,0.051,01-Feb-73
3,Mar,1973,16650000,15792000,15307000,485000,858000,0.948,0.919,0.031,0.052,01-Mar-73
4,Apr,1973,16653000,15775000,15297000,478000,878000,0.947,0.919,0.03,0.053,01-Apr-73
5,May,1973,16657000,15747000,15278000,469000,910000,0.945,0.917,0.03,0.055,01-May-73
6,Jun,1973,16660000,15724000,15265000,458000,936000,0.944,0.916,0.029,0.056,01-Jun-73
7,Jul,1973,16663000,15703000,15257000,445000,960000,0.942,0.916,0.028,0.058,01-Jul-73
8,Aug,1973,16666000,15683000,15249000,435000,982000,0.941,0.915,0.028,0.059,01-Aug-73
9,Sep,1973,16668000,15672000,15247000,425000,996000,0.94,0.915,0.027,0.06,01-Sep-73
10,Oct,1973,16671000,15653000,15239000,414000,1018000,0.939,0.914,0.026,0.061,01-Oct-73
11,Nov,1974,16674000,15639000,15221000,418000,1035000,0.938,0.913,0.027,0.062,01-Nov-74
12,Dec,1974,16677000,15637000,15209000,428000,1039000,0.938,0.912,0.027,0.062,01-Dec-74
1,Jan,1974,16679000,15637000,15192000,445000,1042000,0.938,0.911,0.028,0.062,01-Jan-74
2,Feb,1974,16682000,15633000,15182000,451000,1049000,0.937,0.91,0.029,0.063,01-Feb-74
3,Mar,1974,16685000,15624000,15172000,452000,1061000,0.936,0.909,0.029,0.064,01-Mar-74
4,Apr,1974,16688000,15625000,15171000,454000,1062000,0.936,0.909,0.029,0.064,01-Apr-74
5,May,1974,16690000,15630000,15172000,458000,1060000,0.936,0.909,0.029,0.064,01-May-74
6,Jun,1974,16693000,15650000,15183000,467000,1043000,0.938,0.91,0.03,0.062,01-Jun-74
7,Jul,1974,16698000,15658000,15185000,473000,1040000,0.938,0.909,0.03,0.062,01-Jul-74
8,Aug,1974,16702000,15665000,15184000,481000,1037000,0.938,0.909,0.031,0.062,01-Aug-74
9,Sep,1974,16707000,15660000,15176000,485000,1046000,0.937,0.908,0.031,0.063,01-Sep-74
10,Oct,1974,16711000,15656000,15165000,491000,1055000,0.937,0.908,0.031,0.063,01-Oct-74
11,Nov,1975,16716000,15647000,15146000,501000,1069000,0.936,0.906,0.032,0.064,01-Nov-75
12,Dec,1975,16720000,15641000,15126000,514000,1079000,0.935,0.905,0.033,0.065,01-Dec-75
1,Jan,1975,16725000,15646000,15115000,531000,1079000,0.936,0.904,0.034,0.064,01-Jan-75
2,Feb,1975,16729000,15646000,15095000,551000,1083000,0.935,0.902,0.035,0.065,01-Feb-75
3,Mar,1975,16734000,15663000,15085000,577000,1071000,0.936,0.901,0.037,0.064,01-Mar-75
4,Apr,1975,16738000,15681000,15075000,606000,1057000,0.937,0.901,0.039,0.063,01-Apr-75
5,May,1975,16743000,15700000,15066000,635000,1042000,0.938,0.9,0.04,0.062,01-May-75
6,Jun,1975,16747000,15715000,15056000,659000,1032000,0.938,0.899,0.042,0.062,01-Jun-75
7,Jul,1975,16753000,15725000,15044000,682000,1028000,0.939,0.898,0.043,0.061,01-Jul-75
8,Aug,1975,16760000,15739000,15035000,705000,1020000,0.939,0.897,0.045,0.061,01-Aug-75
9,Sep,1975,16766000,15744000,15015000,729000,1021000,0.939,0.896,0.046,0.061,01-Sep-75
10,Oct,1975,16772000,15756000,15003000,753000,1016000,0.939,0.895,0.048,0.061,01-Oct-75
11,Nov,1976,16778000,15757000,14987000,770000,1022000,0.939,0.893,0.049,0.061,01-Nov-76
12,Dec,1976,16785000,15758000,14975000,783000,1027000,0.939,0.892,0.05,0.061,01-Dec-76
1,Jan,1976,16791000,15756000,14963000,793000,1035000,0.938,0.891,0.05,0.062,01-Jan-76
2,Feb,1976,16797000,15746000,14946000,800000,1051000,0.937,0.89,0.051,0.063,01-Feb-76
3,Mar,1976,16803000,15752000,14944000,808000,1052000,0.937,0.889,0.051,0.063,01-Mar-76
4,Apr,1976,16810000,15746000,14933000,813000,1063000,0.937,0.888,0.052,0.063,01-Apr-76
5,May,1976,16816000,15741000,14925000,816000,1075000,0.936,0.888,0.052,0.064,01-May-76
6,Jun,1976,16822000,15740000,14924000,816000,1082000,0.936,0.887,0.052,0.064,01-Jun-76
7,Jul,1976,16829000,15733000,14916000,817000,1096000,0.935,0.886,0.052,0.065,01-Jul-76
8,Aug,1976,16837000,15730000,14915000,815000,1107000,0.934,0.886,0.052,0.066,01-Aug-76
9,Sep,1976,16844000,15726000,14914000,812000,1118000,0.934,0.885,0.052,0.066,01-Sep-76
