Month Name,Year,Overall,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity %,Employment %,Unemployment %,Economic inactivity %,Month,Year and Month Comb
Jan,1971,33559000,25187000,24219000,967000,8373000,0.751,0.722,0.038,0.249,1,01-Jan-71
Feb,1971,33565000,25172000,24187000,985000,8393000,0.75,0.721,0.039,0.25,2,01-Feb-71
Mar,1971,33570000,25180000,24171000,1009000,8390000,0.75,0.72,0.04,0.25,3,01-Mar-71
Apr,1971,33576000,25199000,24168000,1031000,8377000,0.751,0.72,0.041,0.249,4,01-Apr-71
May,1971,33581000,25202000,24153000,1049000,8380000,0.75,0.719,0.042,0.25,5,01-May-71
Jun,1971,33586000,25180000,24125000,1055000,8406000,0.75,0.718,0.042,0.25,6,01-Jun-71
Jul,1971,33589000,25148000,24085000,1063000,8440000,0.749,0.717,0.042,0.251,7,01-Jul-71
Aug,1971,33591000,25124000,24046000,1077000,8467000,0.748,0.716,0.043,0.252,8,01-Aug-71
Sep,1971,33594000,25115000,24015000,1100000,8479000,0.748,0.715,0.044,0.252,9,01-Sep-71
Oct,1971,33596000,25137000,24017000,1120000,8459000,0.748,0.715,0.045,0.252,10,01-Oct-71
Nov,1972,33598000,25163000,24032000,1130000,8436000,0.749,0.715,0.045,0.251,11,01-Nov-72
Dec,1972,33601000,25207000,24071000,1136000,8394000,0.75,0.716,0.045,0.25,12,01-Dec-72
Jan,1972,33603000,25257000,24115000,1142000,8346000,0.752,0.718,0.045,0.248,1,01-Jan-72
Feb,1972,33606000,25296000,24148000,1148000,8310000,0.753,0.719,0.045,0.247,2,01-Feb-72
Mar,1972,33608000,25300000,24158000,1142000,8309000,0.753,0.719,0.045,0.247,3,01-Mar-72
Apr,1972,33611000,25281000,24155000,1126000,8329000,0.752,0.719,0.045,0.248,4,01-Apr-72
May,1972,33613000,25262000,24154000,1108000,8352000,0.752,0.719,0.044,0.248,5,01-May-72
Jun,1972,33616000,25259000,24164000,1094000,8357000,0.751,0.719,0.043,0.249,6,01-Jun-72
Jul,1972,33620000,25279000,24192000,1087000,8341000,0.752,0.72,0.043,0.248,7,01-Jul-72
Aug,1972,33624000,25299000,24220000,1079000,8325000,0.752,0.72,0.043,0.248,8,01-Aug-72
Sep,1972,33628000,25325000,24253000,1072000,8303000,0.753,0.721,0.042,0.247,9,01-Sep-72
Oct,1972,33632000,25344000,24288000,1056000,8288000,0.754,0.722,0.042,0.246,10,01-Oct-72
Nov,1973,33636000,25381000,24346000,1035000,8255000,0.755,0.724,0.041,0.245,11,01-Nov-73
Dec,1973,33640000,25422000,24412000,1010000,8218000,0.756,0.726,0.04,0.244,12,01-Dec-73
Jan,1973,33644000,25477000,24488000,989000,8167000,0.757,0.728,0.039,0.243,1,01-Jan-73
Feb,1973,33648000,25515000,24541000,974000,8133000,0.758,0.729,0.038,0.242,2,01-Feb-73
Mar,1973,33652000,25528000,24565000,964000,8123000,0.759,0.73,0.038,0.241,3,01-Mar-73
Apr,1973,33656000,25520000,24564000,955000,8136000,0.758,0.73,0.037,0.242,4,01-Apr-73
May,1973,33659000,25497000,24552000,944000,8163000,0.757,0.729,0.037,0.243,5,01-May-73
Jun,1973,33663000,25478000,24548000,931000,8185000,0.757,0.729,0.037,0.243,6,01-Jun-73
Jul,1973,33666000,25468000,24554000,914000,8198000,0.756,0.729,0.036,0.244,7,01-Jul-73
Aug,1973,33668000,25461000,24561000,900000,8207000,0.756,0.729,0.035,0.244,8,01-Aug-73
Sep,1973,33670000,25461000,24573000,888000,8209000,0.756,0.73,0.035,0.244,9,01-Sep-73
Oct,1973,33673000,25455000,24580000,875000,8218000,0.756,0.73,0.034,0.244,10,01-Oct-73
Nov,1974,33675000,25453000,24575000,879000,8222000,0.756,0.73,0.035,0.244,11,01-Nov-74
Dec,1974,33677000,25460000,24569000,891000,8217000,0.756,0.73,0.035,0.244,12,01-Dec-74
Jan,1974,33680000,25474000,24563000,910000,8206000,0.756,0.729,0.036,0.244,1,01-Jan-74
Feb,1974,33682000,25481000,24563000,918000,8201000,0.757,0.729,0.036,0.243,2,01-Feb-74
Mar,1974,33684000,25484000,24564000,920000,8200000,0.757,0.729,0.036,0.243,3,01-Mar-74
Apr,1974,33686000,25499000,24575000,924000,8187000,0.757,0.73,0.036,0.243,4,01-Apr-74
May,1974,33689000,25520000,24592000,928000,8169000,0.758,0.73,0.036,0.242,5,01-May-74
Jun,1974,33691000,25557000,24620000,938000,8134000,0.759,0.731,0.037,0.241,6,01-Jun-74
Jul,1974,33696000,25581000,24636000,944000,8115000,0.759,0.731,0.037,0.241,7,01-Jul-74
Aug,1974,33702000,25599000,24647000,952000,8102000,0.76,0.731,0.037,0.24,8,01-Aug-74
Sep,1974,33707000,25600000,24644000,956000,8106000,0.76,0.731,0.037,0.24,9,01-Sep-74
Oct,1974,33712000,25597000,24635000,963000,8115000,0.759,0.731,0.038,0.241,10,01-Oct-74
Nov,1975,33717000,25589000,24613000,976000,8128000,0.759,0.73,0.038,0.241,11,01-Nov-75
Dec,1975,33723000,25586000,24592000,993000,8137000,0.759,0.729,0.039,0.241,12,01-Dec-75
Jan,1975,33728000,25592000,24576000,1016000,8136000,0.759,0.729,0.04,0.241,1,01-Jan-75
Feb,1975,33733000,25597000,24555000,1042000,8137000,0.759,0.728,0.041,0.241,2,01-Feb-75
Mar,1975,33739000,25621000,24544000,1076000,8118000,0.759,0.727,0.042,0.241,3,01-Mar-75
Apr,1975,33744000,25647000,24534000,1112000,8097000,0.76,0.727,0.043,0.24,4,01-Apr-75
May,1975,33749000,25673000,24524000,1149000,8077000,0.761,0.727,0.045,0.239,5,01-May-75
Jun,1975,33753000,25692000,24513000,1179000,8061000,0.761,0.726,0.046,0.239,6,01-Jun-75
Jul,1975,33764000,25704000,24496000,1207000,8060000,0.761,0.726,0.047,0.239,7,01-Jul-75
Aug,1975,33774000,25723000,24484000,1239000,8051000,0.762,0.725,0.048,0.238,8,01-Aug-75
Sep,1975,33785000,25735000,24463000,1273000,8050000,0.762,0.724,0.049,0.238,9,01-Sep-75
Oct,1975,33796000,25751000,24446000,1305000,8044000,0.762,0.723,0.051,0.238,10,01-Oct-75
Nov,1976,33806000,25758000,24429000,1329000,8049000,0.762,0.723,0.052,0.238,11,01-Nov-76
Dec,1976,33817000,25760000,24412000,1349000,8057000,0.762,0.722,0.052,0.238,12,01-Dec-76
Jan,1976,33828000,25759000,24395000,1365000,8068000,0.761,0.721,0.053,0.239,1,01-Jan-76
Feb,1976,33838000,25756000,24378000,1378000,8083000,0.761,0.72,0.053,0.239,2,01-Feb-76
Mar,1976,33849000,25764000,24373000,1391000,8085000,0.761,0.72,0.054,0.239,3,01-Mar-76
Apr,1976,33860000,25762000,24364000,1399000,8097000,0.761,0.72,0.054,0.239,4,01-Apr-76
May,1976,33871000,25764000,24359000,1405000,8107000,0.761,0.719,0.055,0.239,5,01-May-76
Jun,1976,33880000,25769000,24359000,1410000,8110000,0.761,0.719,0.055,0.239,6,01-Jun-76
Jul,1976,33894000,25771000,24355000,1416000,8123000,0.76,0.719,0.055,0.24,7,01-Jul-76
Aug,1976,33907000,25774000,24357000,1418000,8133000,0.76,0.718,0.055,0.24,8,01-Aug-76
Sep,1976,33921000,25776000,24359000,1417000,8145000,0.76,0.718,0.055,0.24,9,01-Sep-76
Oct,1976,33935000,25784000,24367000,1417000,8151000,0.76,0.718,0.055,0.24,10,01-Oct-76
Nov,1977,33949000,25795000,24374000,1421000,8154000,0.76,0.718,0.055,0.24,11,01-Nov-77
Dec,1977,33963000,25803000,24382000,1422000,8159000,0.76,0.718,0.055,0.24,12,01-Dec-77
Jan,1977,33976000,25799000,24378000,1421000,8177000,0.759,0.718,0.055,0.241,1,01-Jan-77
Feb,1977,33990000,25798000,24375000,1423000,8192000,0.759,0.717,0.055,0.241,2,01-Feb-77
Mar,1977,34004000,25803000,24377000,1426000,8201000,0.759,0.717,0.055,0.241,3,01-Mar-77
Apr,1977,34018000,25811000,24374000,1438000,8206000,0.759,0.716,0.056,0.241,4,01-Apr-77
May,1977,34032000,25823000,24371000,1452000,8208000,0.759,0.716,0.056,0.241,5,01-May-77
Jun,1977,34042000,25840000,24373000,1466000,8203000,0.759,0.716,0.057,0.241,6,01-Jun-77
Jul,1977,34057000,25859000,24381000,1478000,8197000,0.759,0.716,0.057,0.241,7,01-Jul-77
Aug,1977,34071000,25862000,24379000,1483000,8209000,0.759,0.716,0.057,0.241,8,01-Aug-77
Sep,1977,34085000,25868000,24381000,1487000,8217000,0.759,0.715,0.057,0.241,9,01-Sep-77
Oct,1977,34099000,25868000,24384000,1484000,8231000,0.759,0.715,0.057,0.241,10,01-Oct-77
