Month Name,Year, Overall, Total economically active, Total in employment, Unemployed, Economically inactive, Economic activity %, Employment %, Unemployment %, Economic inactivity %,Month,Year and Month
Jan,1971,16998000,9441000,8973000,469000,7557000,0.555,0.528,0.05,0.445,1,01-Jan-71
Feb,1971,16999000,9434000,8963000,471000,7565000,0.555,0.527,0.05,0.445,2,01-Feb-71
Mar,1971,17000000,9439000,8965000,474000,7561000,0.555,0.527,0.05,0.445,3,01-Mar-71
Apr,1971,17000000,9441000,8965000,477000,7559000,0.555,0.527,0.05,0.445,4,01-Apr-71
May,1971,17001000,9446000,8967000,479000,7555000,0.556,0.527,0.051,0.444,5,01-May-71
Jun,1971,17001000,9440000,8961000,479000,7561000,0.555,0.527,0.051,0.445,6,01-Jun-71
Jul,1971,17001000,9431000,8951000,480000,7569000,0.555,0.527,0.051,0.445,7,01-Jul-71
Aug,1971,17000000,9426000,8943000,483000,7574000,0.554,0.526,0.051,0.446,8,01-Aug-71
Sep,1971,17000000,9428000,8940000,488000,7571000,0.555,0.526,0.052,0.445,9,01-Sep-71
Oct,1971,16999000,9435000,8943000,492000,7564000,0.555,0.526,0.052,0.445,10,01-Oct-71
Nov,1972,16999000,9450000,8957000,493000,7549000,0.556,0.527,0.052,0.444,11,01-Nov-72
Dec,1972,16999000,9468000,8975000,493000,7530000,0.557,0.528,0.052,0.443,12,01-Dec-72
Jan,1972,16998000,9491000,8996000,494000,7508000,0.558,0.529,0.052,0.442,1,01-Jan-72
Feb,1972,16998000,9507000,9011000,496000,7491000,0.559,0.53,0.052,0.441,2,01-Feb-72
Mar,1972,16997000,9518000,9021000,497000,7480000,0.56,0.531,0.052,0.44,3,01-Mar-72
Apr,1972,16997000,9523000,9027000,496000,7474000,0.56,0.531,0.052,0.44,4,01-Apr-72
May,1972,16997000,9528000,9034000,494000,7468000,0.561,0.532,0.052,0.439,5,01-May-72
Jun,1972,16996000,9537000,9046000,492000,7459000,0.561,0.532,0.052,0.439,6,01-Jun-72
Jul,1972,16997000,9552000,9062000,490000,7445000,0.562,0.533,0.051,0.438,7,01-Jul-72
Aug,1972,16998000,9568000,9079000,489000,7429000,0.563,0.534,0.051,0.437,8,01-Aug-72
Sep,1972,16998000,9584000,9094000,490000,7414000,0.564,0.535,0.051,0.436,9,01-Sep-72
Oct,1972,16999000,9606000,9117000,489000,7393000,0.565,0.536,0.051,0.435,10,01-Oct-72
Nov,1973,16999000,9631000,9144000,487000,7368000,0.567,0.538,0.051,0.433,11,01-Nov-73
Dec,1973,17000000,9662000,9178000,484000,7338000,0.568,0.54,0.05,0.432,12,01-Dec-73
Jan,1973,17000000,9694000,9212000,481000,7307000,0.57,0.542,0.05,0.43,1,01-Jan-73
Feb,1973,17001000,9717000,9238000,480000,7284000,0.572,0.543,0.049,0.428,2,01-Feb-73
Mar,1973,17002000,9736000,9258000,479000,7265000,0.573,0.545,0.049,0.427,3,01-Mar-73
Apr,1973,17002000,9744000,9267000,477000,7258000,0.573,0.545,0.049,0.427,4,01-Apr-73
May,1973,17003000,9750000,9275000,475000,7253000,0.573,0.545,0.049,0.427,5,01-May-73
Jun,1973,17003000,9754000,9282000,472000,7249000,0.574,0.546,0.048,0.426,6,01-Jun-73
Jul,1973,17003000,9765000,9297000,469000,7238000,0.574,0.547,0.048,0.426,7,01-Jul-73
