Region Code,Region Name,Rent Price Quartile,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E92000001,England,25th percentile,450.0,465.0,475,495,500,520,525,550,565,595
E92000001,England,50th percentile,585.0,595.0,600,650,675,675,695,700,730,795
E92000001,England,75th percentile,795.0,795.0,850,900,950,950,975,950,995,1100
E12000001,North East,25th percentile,395.0,395.0,400,400,423,400,420,425,425,425
E12000001,North East,50th percentile,450.0,450.0,475,475,495,495,495,495,500,505
E12000001,North East,75th percentile,550.0,550.0,550,560,595,595,595,595,612,625
E12000002,North West,25th percentile,400.0,410.0,425,425,450,450,450,475,485,500
E12000002,North West,50th percentile,495.0,495.0,510,525,535,550,550,575,585,615
E12000002,North West,75th percentile,595.0,600.0,625,650,650,675,695,700,725,775
E12000003,Yorkshire and The Humber,25th percentile,400.0,395.0,400,425,425,433,450,450,475,495
E12000003,Yorkshire and The Humber,50th percentile,485.0,480.0,495,500,520,525,535,550,575,595
E12000003,Yorkshire and The Humber,75th percentile,595.0,595.0,595,615,645,650,675,695,720,750
E12000004,East Midlands,25th percentile,425.0,425.0,425,440,450,450,475,495,525,525
E12000004,East Midlands,50th percentile,500.0,500.0,525,530,550,570,595,600,625,650
E12000004,East Midlands,75th percentile,595.0,600.0,625,650,650,692,700,725,750,775
E12000005,West Midlands,25th percentile,425.0,450.0,450,475,475,495,500,525,550,575
E12000005,West Midlands,50th percentile,525.0,530.0,550,565,575,595,600,645,660,695
E12000005,West Midlands,75th percentile,625.0,650.0,650,680,695,725,735,750,780,800
E12000006,East,25th percentile,500.0,500.0,545,570,595,615,625,650,650,700
E12000006,East,50th percentile,600.0,625.0,650,695,750,775,795,795,800,865
E12000006,East,75th percentile,775.0,790.0,825,900,975,1000,1000,1000,1050,1100
E12000007,London,25th percentile,900.0,953.0,1050,1150,1200,1150,1200,1159,1200,1200
E12000007,London,50th percentile,1250.0,1300.0,1350,1452,1495,1400,1495,1425,1430,1450
E12000007,London,75th percentile,1650.0,1690.0,1798,1950,1950,1795,1900,1841,1800,1800
E12000008,South East,25th percentile,595.0,600.0,625,650,695,700,700,745,750,775
E12000008,South East,50th percentile,750.0,750.0,779,845,875,875,875,900,900,950
E12000008,South East,75th percentile,950.0,950.0,995,1100,1150,1150,1125,1150,1150,1200
E12000009,South West,25th percentile,500.0,525.0,535,550,550,575,575,595,610,650
E12000009,South West,50th percentile,615.0,635.0,650,650,695,700,700,725,750,795
E12000009,South West,75th percentile,750.0,775.0,795,800,850,875,875,895,925,995
W92000004,Wales,25th percentile,395.0,390.0,400,400,412,425,449,450,450,475
W92000004,Wales,50th percentile,495.0,483.0,495,495,500,510,525,545,550,560
W92000004,Wales,75th percentile,575.0,585.0,590,595,595,607,625,650,675,695
N92000002,Northern Ireland,25th percentile,,,450,450,464,475,495,500,525,571
N92000002,Northern Ireland,50th percentile,,,525,525,538,550,575,595,625,650
N92000002,Northern Ireland,75th percentile,,,625,625,650,675,700,725,750,825
